domain,clean_domain
"8543.ton","8543"
"3333.ton","3333"
"0014.ton","0014"
"9009.ton","9009"
"6868.ton","6868"
"0707.ton","0707"
"4999.ton","4999"
"2160.ton","2160"
"0025.ton","0025"
"9909.ton","9909"
"0011.ton","0011"
"6668.ton","6668"
"6336.ton","6336"
"1113.ton","1113"
"8886.ton","8886"
"2023.ton","2023"
"8118.ton","8118"
"1101.ton","1101"
"8777.ton","8777"
"9158.ton","9158"
"3033.ton","3033"
"8885.ton","8885"
"0062.ton","0062"
"0058.ton","0058"
"0330.ton","0330"
"2009.ton","2009"
"3366.ton","3366"
"9999.ton","9999"
"0069.ton","0069"
"2008.ton","2008"
"8111.ton","8111"
"2228.ton","2228"
"1100.ton","1100"
"6000.ton","6000"
"3322.ton","3322"
"0089.ton","0089"
"7776.ton","7776"
"3737.ton","3737"
"0013.ton","0013"
"8788.ton","8788"
"1313.ton","1313"
"4777.ton","4777"
"4466.ton","4466"
"0550.ton","0550"
"6996.ton","6996"
"4888.ton","4888"
"7337.ton","7337"
"2220.ton","2220"
"0090.ton","0090"
"7889.ton","7889"
"0592.ton","0592"
"5588.ton","5588"
"1314.ton","1314"
"6655.ton","6655"
"6667.ton","6667"
"3003.ton","3003"
"6116.ton","6116"
"2070.ton","2070"
"7999.ton","7999"
"1888.ton","1888"
"2054.ton","2054"
"7717.ton","7717"
"7707.ton","7707"
"6999.ton","6999"
"1225.ton","1225"
"1717.ton","1717"
"3993.ton","3993"
"4554.ton","4554"
"0404.ton","0404"
"3456.ton","3456"
"1993.ton","1993"
"0123.ton","0123"
"3553.ton","3553"
"1999.ton","1999"
"2013.ton","2013"
"0023.ton","0023"
"9229.ton","9229"
"0111.ton","0111"
"6974.ton","6974"
"0009.ton","0009"
"5550.ton","5550"
"8882.ton","8882"
"1133.ton","1133"
"1333.ton","1333"
"8000.ton","8000"
"0521.ton","0521"
"4949.ton","4949"
"0130.ton","0130"
"4000.ton","4000"
"0077.ton","0077"
"1997.ton","1997"
"2001.ton","2001"
"0017.ton","0017"
"3337.ton","3337"
"0003.ton","0003"
"8883.ton","8883"
"0082.ton","0082"
"0666.ton","0666"
"8008.ton","8008"
"0029.ton","0029"
"0303.ton","0303"
"2882.ton","2882"
"0990.ton","0990"
"2010.ton","2010"
"6900.ton","6900"
"2094.ton","2094"
"6600.ton","6600"
"0021.ton","0021"
"7077.ton","7077"
"0551.ton","0551"
"0222.ton","0222"
"1688.ton","1688"
"3000.ton","3000"
"8878.ton","8878"
"5201.ton","5201"
"8282.ton","8282"
"7997.ton","7997"
"1377.ton","1377"
"8181.ton","8181"
"1441.ton","1441"
"3030.ton","3030"
"0035.ton","0035"
"6666.ton","6666"
"9696.ton","9696"
"9900.ton","9900"
"0026.ton","0026"
"7177.ton","7177"
"0022.ton","0022"
"0101.ton","0101"
"4096.ton","4096"
"8800.ton","8800"
"8855.ton","8855"
"9955.ton","9955"
"2058.ton","2058"
"3300.ton","3300"
"1222.ton","1222"
"1119.ton","1119"
"9555.ton","9555"
"2555.ton","2555"
"9119.ton","9119"
"1122.ton","1122"
"4666.ton","4666"
"1919.ton","1919"
"1989.ton","1989"
"0055.ton","0055"
"5200.ton","5200"
"1388.ton","1388"
"5150.ton","5150"
"1881.ton","1881"
"3137.ton","3137"
"1011.ton","1011"
"0081.ton","0081"
"7773.ton","7773"
"4400.ton","4400"
"5566.ton","5566"
"7575.ton","7575"
"8868.ton","8868"
"6767.ton","6767"
"2323.ton","2323"
"0087.ton","0087"
"0099.ton","0099"
"7788.ton","7788"
"6556.ton","6556"
"0012.ton","0012"
"0999.ton","0999"
"6006.ton","6006"
"1355.ton","1355"
"0086.ton","0086"
"9111.ton","9111"
"1117.ton","1117"
"5665.ton","5665"
"0311.ton","0311"
"8888.ton","8888"
"1986.ton","1986"
"8880.ton","8880"
"0031.ton","0031"
"8228.ton","8228"
"7700.ton","7700"
"5999.ton","5999"
"2048.ton","2048"
"0600.ton","0600"
"8999.ton","8999"
"1992.ton","1992"
"8123.ton","8123"
"0220.ton","0220"
"2221.ton","2221"
"2333.ton","2333"
"5115.ton","5115"
"2030.ton","2030"
"7447.ton","7447"
"7778.ton","7778"
"0505.ton","0505"
"1889.ton","1889"
"9997.ton","9997"
"8822.ton","8822"
"0091.ton","0091"
"4555.ton","4555"
"5558.ton","5558"
"5555.ton","5555"
"7799.ton","7799"
"3535.ton","3535"
"8585.ton","8585"
"0936.ton","0936"
"0070.ton","0070"
"2077.ton","2077"
"0200.ton","0200"
"2098.ton","2098"
"5088.ton","5088"
"6888.ton","6888"
"2050.ton","2050"
"8778.ton","8778"
"7227.ton","7227"
"0898.ton","0898"
"7779.ton","7779"
"0015.ton","0015"
"9000.ton","9000"
"3777.ton","3777"
"1112.ton","1112"
"1004.ton","1004"
"3210.ton","3210"
"0004.ton","0004"
"8889.ton","8889"
"8808.ton","8808"
"0005.ton","0005"
"1818.ton","1818"
"0018.ton","0018"
"0369.ton","0369"
"9449.ton","9449"
"2000.ton","2000"
"6699.ton","6699"
"1555.ton","1555"
"3113.ton","3113"
"2288.ton","2288"
"0909.ton","0909"
"5252.ton","5252"
"2772.ton","2772"
"4455.ton","4455"
"0202.ton","0202"
"2992.ton","2992"
"4774.ton","4774"
"1515.ton","1515"
"1998.ton","1998"
"0595.ton","0595"
"2225.ton","2225"
"9669.ton","9669"
"0020.ton","0020"
"1500.ton","1500"
"0040.ton","0040"
"2026.ton","2026"
"8558.ton","8558"
"9991.ton","9991"
"8338.ton","8338"
"1221.ton","1221"
"1188.ton","1188"
"4567.ton","4567"
"2015.ton","2015"
"0065.ton","0065"
"1000.ton","1000"
