domain,clean_domain,tier
"7777.ton","7777",1
"4444.ton","4444",1
"1111.ton","1111",1
"2222.ton","2222",1
"0000.ton","0000",1
"3333.ton","3333",1
"9999.ton","9999",1
"6666.ton","6666",1
"8888.ton","8888",1
"5555.ton","5555",1
