domain,clean_domain,numeric_value
"00000.ton","00000",0
"00001.ton","00001",1
"00002.ton","00002",2
"00003.ton","00003",3
"00004.ton","00004",4
"00005.ton","00005",5
"00006.ton","00006",6
"00007.ton","00007",7
"00008.ton","00008",8
"00009.ton","00009",9
"00010.ton","00010",10
"00011.ton","00011",11
"00013.ton","00013",13
"00022.ton","00022",22
"00033.ton","00033",33
"00055.ton","00055",55
"00066.ton","00066",66
"00069.ton","00069",69
"00077.ton","00077",77
"00088.ton","00088",88
"00099.ton","00099",99
"00100.ton","00100",100
"00111.ton","00111",111
"00123.ton","00123",123
"00168.ton","00168",168
"00200.ton","00200",200
"00222.ton","00222",222
"00300.ton","00300",300
"00333.ton","00333",333
"00369.ton","00369",369
"00400.ton","00400",400
"00500.ton","00500",500
"00520.ton","00520",520
"00521.ton","00521",521
"00555.ton","00555",555
"00600.ton","00600",600
"00666.ton","00666",666
"00700.ton","00700",700
"00707.ton","00707",707
"00777.ton","00777",777
"00800.ton","00800",800
"00808.ton","00808",808
"00888.ton","00888",888
"00898.ton","00898",898
"00900.ton","00900",900
"00987.ton","00987",987
"00999.ton","00999",999
"01000.ton","01000",1000
"01010.ton","01010",1010
"01110.ton","01110",1110
"01111.ton","01111",1111
"01234.ton","01234",1234
"01688.ton","01688",1688
"02220.ton","02220",2220
"02222.ton","02222",2222
"03330.ton","03330",3330
"03333.ton","03333",3333
"05050.ton","05050",5050
"05550.ton","05550",5550
"05555.ton","05555",5555
"06060.ton","06060",6060
"06660.ton","06660",6660
"06666.ton","06666",6666
"07000.ton","07000",7000
"07070.ton","07070",7070
"07770.ton","07770",7770
"07777.ton","07777",7777
"08000.ton","08000",8000
"08080.ton","08080",8080
"08880.ton","08880",8880
"08888.ton","08888",8888
"09000.ton","09000",9000
"09090.ton","09090",9090
"09990.ton","09990",9990
"09999.ton","09999",9999
"10000.ton","10000",10000
"10001.ton","10001",10001
"10010.ton","10010",10010
"10086.ton","10086",10086
"10101.ton","10101",10101
"11000.ton","11000",11000
"11011.ton","11011",11011
"11100.ton","11100",11100
"11110.ton","11110",11110
"11111.ton","11111",11111
"11112.ton","11112",11112
"11888.ton","11888",11888
"12321.ton","12321",12321
"12345.ton","12345",12345
"12580.ton","12580",12580
"16800.ton","16800",16800
"16888.ton","16888",16888
"17771.ton","17771",17771
"17777.ton","17777",17777
"18881.ton","18881",18881
"18888.ton","18888",18888
"19991.ton","19991",19991
"20000.ton","20000",20000
"20002.ton","20002",20002
"22220.ton","22220",22220
"22222.ton","22222",22222
"22888.ton","22888",22888
"23456.ton","23456",23456
"28882.ton","28882",28882
"28888.ton","28888",28888
"30000.ton","30000",30000
"30003.ton","30003",30003
"31337.ton","31337",31337
"33330.ton","33330",33330
"33333.ton","33333",33333
"34567.ton","34567",34567
"38883.ton","38883",38883
"38888.ton","38888",38888
"40000.ton","40000",40000
"42069.ton","42069",42069
"44444.ton","44444",44444
"45678.ton","45678",45678
"50000.ton","50000",50000
"50005.ton","50005",50005
"50505.ton","50505",50505
"51888.ton","51888",51888
"52000.ton","52000",52000
"52888.ton","52888",52888
"54321.ton","54321",54321
"55550.ton","55550",55550
"55555.ton","55555",55555
"55558.ton","55558",55558
"56789.ton","56789",56789
"58885.ton","58885",58885
"58888.ton","58888",58888
"60000.ton","60000",60000
"60006.ton","60006",60006
"66660.ton","66660",66660
"66666.ton","66666",66666
"66668.ton","66668",66668
"66669.ton","66669",66669
"66866.ton","66866",66866
"66888.ton","66888",66888
"68886.ton","68886",68886
"68888.ton","68888",68888
"69420.ton","69420",69420
"69996.ton","69996",69996
"69999.ton","69999",69999
"70000.ton","70000",70000
"70007.ton","70007",70007
"70707.ton","70707",70707
"77000.ton","77000",77000
"77077.ton","77077",77077
"77177.ton","77177",77177
"77700.ton","77700",77700
"77711.ton","77711",77711
"77717.ton","77717",77717
"77770.ton","77770",77770
"77771.ton","77771",77771
"77776.ton","77776",77776
"77777.ton","77777",77777
"77788.ton","77788",77788
"77799.ton","77799",77799
"77877.ton","77877",77877
"77888.ton","77888",77888
"78887.ton","78887",78887
"78888.ton","78888",78888
"80000.ton","80000",80000
"80008.ton","80008",80008
"80808.ton","80808",80808
"80888.ton","80888",80888
"81818.ton","81818",81818
"86666.ton","86666",86666
"86668.ton","86668",86668
"86868.ton","86868",86868
"87777.ton","87777",87777
"87778.ton","87778",87778
"88000.ton","88000",88000
"88088.ton","88088",88088
"88188.ton","88188",88188
"88288.ton","88288",88288
"88388.ton","88388",88388
"88588.ton","88588",88588
"88688.ton","88688",88688
"88788.ton","88788",88788
"88800.ton","88800",88800
"88808.ton","88808",88808
"88866.ton","88866",88866
"88877.ton","88877",88877
"88880.ton","88880",88880
"88881.ton","88881",88881
"88882.ton","88882",88882
"88885.ton","88885",88885
"88886.ton","88886",88886
"88887.ton","88887",88887
"88888.ton","88888",88888
"88889.ton","88889",88889
"88899.ton","88899",88899
"88988.ton","88988",88988
"88999.ton","88999",88999
"89888.ton","89888",89888
"89898.ton","89898",89898
"89998.ton","89998",89998
"89999.ton","89999",89999
"90000.ton","90000",90000
"90009.ton","90009",90009
"95588.ton","95588",95588
"96669.ton","96669",96669
"98765.ton","98765",98765
"98888.ton","98888",98888
"98889.ton","98889",98889
"99000.ton","99000",99000
"99099.ton","99099",99099
"99699.ton","99699",99699
"99888.ton","99888",99888
"99899.ton","99899",99899
"99900.ton","99900",99900
"99988.ton","99988",99988
"99990.ton","99990",99990
"99998.ton","99998",99998
"99999.ton","99999",99999
