domain,clean_domain
"2086.ton","2086"
"2027.ton","2027"
"0078.ton","0078"
"7070.ton","7070"
"2078.ton","2078"
"0700.ton","0700"
"9977.ton","9977"
"8869.ton","8869"
"7711.ton","7711"
"8858.ton","8858"
"2345.ton","2345"
"5151.ton","5151"
"2332.ton","2332"
"7890.ton","7890"
"2100.ton","2100"
"0690.ton","0690"
"0800.ton","0800"
"7666.ton","7666"
"5505.ton","5505"
"7887.ton","7887"
"8121.ton","8121"
"9777.ton","9777"
"6060.ton","6060"
"6776.ton","6776"
"4399.ton","4399"
"1010.ton","1010"
"0063.ton","0063"
"9797.ton","9797"
"2049.ton","2049"
"2229.ton","2229"
"8383.ton","8383"
"8789.ton","8789"
"9559.ton","9559"
"9595.ton","9595"
"4440.ton","4440"
"3888.ton","3888"
"8785.ton","8785"
"3330.ton","3330"
"2137.ton","2137"
"7770.ton","7770"
"9993.ton","9993"
"8846.ton","8846"
"0988.ton","0988"
"6555.ton","6555"
"2022.ton","2022"
"8848.ton","8848"
"0900.ton","0900"
"8881.ton","8881"
"5775.ton","5775"
"6565.ton","6565"
"8030.ton","8030"
"5556.ton","5556"
"8786.ton","8786"
"0036.ton","0036"
"0008.ton","0008"
"6669.ton","6669"
"5188.ton","5188"
"8555.ton","8555"
"0935.ton","0935"
"8760.ton","8760"
"7878.ton","7878"
"2222.ton","2222"
"8126.ton","8126"
"0555.ton","0555"
"8532.ton","8532"
"8536.ton","8536"
"0093.ton","0093"
"8874.ton","8874"
"3222.ton","3222"
"1618.ton","1618"
"2200.ton","2200"
"0098.ton","0098"
"0808.ton","0808"
"0000.ton","0000"
"0006.ton","0006"
"0074.ton","0074"
"8088.ton","8088"
"2024.ton","2024"
"3443.ton","3443"
"1024.ton","1024"
"0042.ton","0042"
"4040.ton","4040"
"0039.ton","0039"
"0028.ton","0028"
"1212.ton","1212"
"8803.ton","8803"
"8877.ton","8877"
"0053.ton","0053"
"1366.ton","1366"
"8234.ton","8234"
"2021.ton","2021"
"7111.ton","7111"
"2004.ton","2004"
"0050.ton","0050"
"5577.ton","5577"
"3690.ton","3690"
"0048.ton","0048"
"2002.ton","2002"
"9188.ton","9188"
"1368.ton","1368"
"8700.ton","8700"
"0066.ton","0066"
"8844.ton","8844"
"2552.ton","2552"
"1777.ton","1777"
"2020.ton","2020"
"8836.ton","8836"
"1985.ton","1985"
"2111.ton","2111"
"0110.ton","0110"
"4224.ton","4224"
"0002.ton","0002"
"7007.ton","7007"
"9222.ton","9222"
"1983.ton","1983"
"8131.ton","8131"
"8988.ton","8988"
"8770.ton","8770"
"8080.ton","8080"
"0024.ton","0024"
"9688.ton","9688"
"0918.ton","0918"
"1234.ton","1234"
"4545.ton","4545"
"8866.ton","8866"
"8860.ton","8860"
"3555.ton","3555"
"4884.ton","4884"
"3377.ton","3377"
"8110.ton","8110"
"8388.ton","8388"
"0128.ton","0128"
"0088.ton","0088"
"9922.ton","9922"
"0100.ton","0100"
"2525.ton","2525"
"0520.ton","0520"
"8707.ton","8707"
"1199.ton","1199"
"7942.ton","7942"
"5432.ton","5432"
"5678.ton","5678"
"9988.ton","9988"
"2005.ton","2005"
"0177.ton","0177"
"8801.ton","8801"
"5225.ton","5225"
"2999.ton","2999"
"8811.ton","8811"
"9090.ton","9090"
"0500.ton","0500"
"8896.ton","8896"
"8543.ton","8543"
"4404.ton","4404"
"3333.ton","3333"
"0014.ton","0014"
"8687.ton","8687"
"9009.ton","9009"
"6868.ton","6868"
"8776.ton","8776"
"0707.ton","0707"
"4999.ton","4999"
"2160.ton","2160"
"0025.ton","0025"
"9909.ton","9909"
"8028.ton","8028"
"0011.ton","0011"
"8001.ton","8001"
"8840.ton","8840"
"6668.ton","6668"
"6336.ton","6336"
"1113.ton","1113"
"8886.ton","8886"
"0210.ton","0210"
"2023.ton","2023"
"8118.ton","8118"
"1101.ton","1101"
"8777.ton","8777"
"9158.ton","9158"
"1982.ton","1982"
"3033.ton","3033"
"8885.ton","8885"
"0062.ton","0062"
"8810.ton","8810"
"8854.ton","8854"
"0058.ton","0058"
"0330.ton","0330"
"8484.ton","8484"
"2009.ton","2009"
"8809.ton","8809"
"3366.ton","3366"
"8516.ton","8516"
"9999.ton","9999"
"0069.ton","0069"
"2008.ton","2008"
"8111.ton","8111"
"8023.ton","8023"
"2228.ton","2228"
"8911.ton","8911"
"1100.ton","1100"
"8027.ton","8027"
"6000.ton","6000"
"3322.ton","3322"
"0089.ton","0089"
"2244.ton","2244"
"7776.ton","7776"
"3737.ton","3737"
"0013.ton","0013"
"0054.ton","0054"
"8788.ton","8788"
"1313.ton","1313"
"0052.ton","0052"
"4777.ton","4777"
"8537.ton","8537"
"4466.ton","4466"
"0550.ton","0550"
"3311.ton","3311"
"6996.ton","6996"
"4888.ton","4888"
"0034.ton","0034"
"6111.ton","6111"
"7337.ton","7337"
"2220.ton","2220"
"0168.ton","0168"
"0090.ton","0090"
"7889.ton","7889"
"2202.ton","2202"
"0592.ton","0592"
"5588.ton","5588"
"6606.ton","6606"
"1314.ton","1314"
"6655.ton","6655"
"2227.ton","2227"
"6667.ton","6667"
"8100.ton","8100"
"3003.ton","3003"
"6116.ton","6116"
"9699.ton","9699"
"8020.ton","8020"
"2019.ton","2019"
"2070.ton","2070"
"8003.ton","8003"
"7999.ton","7999"
"1888.ton","1888"
"2054.ton","2054"
"7717.ton","7717"
"7707.ton","7707"
"6999.ton","6999"
"8901.ton","8901"
"0120.ton","0120"
